	F01	F02	F03	F04	F05	F06
GO:0000001	0	2	0	0	0	4
GO:0000002	1	0	1	0	1	1
GO:0000006	2	4	0	1	1	1
GO:0000014	3	3	2	7	3	4
GO:0000015	12	15	13	33	37	45
GO:0000017	1	1	2	2	2	2
GO:0000019	0	0	0	1	1	1
GO:0000023	0	0	2	4	2	5
GO:0000025	0	0	1	1	1	0
GO:0000026	0	0	0	0	0	1
GO:0000027	26	27	27	46	46	55
GO:0000028	4	6	4	11	21	22
GO:0000030	10	10	3	18	14	12
GO:0000032	0	0	0	3	4	5
GO:0000033	0	1	1	2	0	2
GO:0000034	7	10	7	19	24	20
GO:0000035	1	1	1	3	5	8
GO:0000036	19	19	15	40	36	62
GO:0000038	1	3	1	1	1	0
GO:0000041	0	0	0	3	4	5
GO:0000045	3	0	1	3	0	2
GO:0000048	0	1	0	0	0	0
GO:0000049	273	309	238	546	592	847
GO:0000050	5	8	7	6	7	9
GO:0000052	2	2	3	6	9	9
GO:0000053	0	1	3	1	1	2
GO:0000054	0	0	0	1	0	1
GO:0000062	11	11	9	22	8	17
GO:0000070	2	0	0	0	0	2
GO:0000076	0	0	0	0	0	1
GO:0000077	1	0	1	1	0	0
GO:0000082	0	0	0	0	1	1
GO:0000086	0	0	0	0	0	1
GO:0000096	3	2	1	4	6	3
GO:0000097	0	1	0	0	0	0
GO:0000098	1	1	1	5	4	5
GO:0000099	1	0	1	0	0	0
GO:0000101	1	0	1	0	0	0
GO:0000103	29	20	25	37	26	44
GO:0000104	36	44	28	33	25	23
GO:0000105	115	125	88	160	209	265
GO:0000107	22	22	13	25	39	50
GO:0000112	0	0	0	1	1	0
GO:0000118	1	1	3	5	5	2
GO:0000121	0	0	1	0	0	1
GO:0000122	5	4	4	7	7	8
GO:0000123	0	2	0	0	0	1
GO:0000131	2	2	0	0	0	0
GO:0000132	0	0	0	0	0	1
GO:0000137	5	2	1	0	0	1
GO:0000138	0	0	0	1	1	4
GO:0000139	15	14	14	23	24	41
GO:0000140	0	0	0	0	1	1
GO:0000150	7	10	13	29	16	16
GO:0000151	0	0	0	0	1	0
GO:0000154	4	0	0	2	2	1
GO:0000155	219	278	255	644	513	552
GO:0000156	50	86	84	189	169	168
GO:0000160	257	380	324	806	628	663
GO:0000161	0	1	1	0	0	0
GO:0000162	63	74	61	131	112	161
GO:0000164	0	0	0	0	0	1
GO:0000165	0	0	0	2	1	2
GO:0000166	258	292	257	542	594	706
GO:0000170	1	0	0	0	0	0
GO:0000175	26	25	17	34	34	45
GO:0000176	1	0	0	1	2	0
GO:0000177	0	0	0	0	1	2
GO:0000178	8	0	3	19	32	34
GO:0000179	3	4	2	4	5	5
GO:0000182	0	0	1	0	0	0
GO:0000183	0	0	2	0	0	1
GO:0000186	0	0	0	1	0	0
GO:0000187	1	0	0	0	1	1
