Id; Description; Score; is secreted
F01_bin.1_00001; hypothetical protein;-1.000000000000000;false
F01_bin.1_00002; 50S ribosomal protein L17;-1.000000000000000;false
F01_bin.1_00003; DNA-directed RNA polymerase subunit alpha;-1.000000000000000;false
F01_bin.1_00004; 30S ribosomal protein S4;-1.000000000000000;false
F01_bin.1_00005; 30S ribosomal protein S11;-1.000000000000000;false
F01_bin.1_00006; 30S ribosomal protein S13;-1.000000000000000;false
F01_bin.1_00007; Methionine aminopeptidase 1;-1.000000000000000;false
F01_bin.1_00008; Adenylate kinase;-1.000000000000000;false
F01_bin.1_00009; Protein translocase subunit SecY;-1.000000000000000;false
F01_bin.1_00010; 50S ribosomal protein L15;-1.000000000000000;false
F01_bin.1_00011; 50S ribosomal protein L30;-1.000000000000000;false
F01_bin.1_00012; 30S ribosomal protein S5;-1.000000000000000;false
F01_bin.1_00013; 50S ribosomal protein L18;-1.000000000000000;false
F01_bin.1_00014; 50S ribosomal protein L6;-1.000000000000000;false
F01_bin.1_00015; 30S ribosomal protein S8;-1.000000000000000;false
F01_bin.1_00016; 50S ribosomal protein L5;-1.000000000000000;false
F01_bin.1_00017; 50S ribosomal protein L24;-1.000000000000000;false
F01_bin.1_00018; 50S ribosomal protein L14;-1.000000000000000;false
F01_bin.1_00019; 30S ribosomal protein S17;-1.000000000000000;false
F01_bin.1_00020; 50S ribosomal protein L29;-1.000000000000000;false
F01_bin.1_00021; 50S ribosomal protein L16;-1.000000000000000;false
F01_bin.1_00022; 30S ribosomal protein S3;-1.000000000000000;false
F01_bin.1_00023; 50S ribosomal protein L22;-1.000000000000000;false
F01_bin.1_00024; 30S ribosomal protein S19;-1.000000000000000;false
F01_bin.1_00025; 50S ribosomal protein L2;-1.000000000000000;false
F01_bin.1_00026; 50S ribosomal protein L23;-1.000000000000000;false
F01_bin.1_00027; 50S ribosomal protein L4;-1.000000000000000;false
F01_bin.1_00028; 50S ribosomal protein L3;-1.000000000000000;false
F01_bin.1_00029; 30S ribosomal protein S10;-1.000000000000000;false
F01_bin.1_00030; Ribosomal RNA small subunit methyltransferase A;-1.000000000000000;false
F01_bin.1_00031; Ribonuclease J1;-1.000000000000000;false
F01_bin.1_00032; DNA translocase FtsK;-1.000000000000000;false
F01_bin.1_00033; hypothetical protein;-1.000000000000000;false
F01_bin.1_00034; hypothetical protein;-1.000000000000000;false
F01_bin.1_00035; Branched-chain-amino-acid aminotransferase;-1.000000000000000;false
F01_bin.1_00036; Regulatory protein RecX;-1.000000000000000;false
F01_bin.1_00037; Alanine--tRNA ligase;-1.000000000000000;false
F01_bin.1_00038; Membrane-bound lytic murein transglycosylase F;-1.000000000000000;false
F01_bin.1_00039; hypothetical protein;-1.000000000000000;false
F01_bin.1_00040; hypothetical protein;-1.000000000000000;false
F01_bin.1_00041; hypothetical protein;-1.000000000000000;false
F01_bin.1_00042; hypothetical protein;-1.000000000000000;false
F01_bin.1_00043; Acetolactate synthase isozyme 3 small subunit;-1.000000000000000;false
F01_bin.1_00044; hypothetical protein;-1.000000000000000;false
F01_bin.1_00045; Phosphoheptose isomerase 1;-1.000000000000000;false
F01_bin.1_00046; hypothetical protein;-1.000000000000000;false
F01_bin.1_00047; hypothetical protein;-1.000000000000000;false
F01_bin.1_00048; putative protein;-1.000000000000000;false
F01_bin.1_00049; tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase;-1.000000000000000;false
F01_bin.1_00050; DNA repair protein RecN;-1.000000000000000;false
F01_bin.1_00051; Tol-Pal system protein TolQ;-1.000000000000000;false
F01_bin.1_00052; Biopolymer transport protein ExbD;-1.000000000000000;false
F01_bin.1_00053; hypothetical protein;-1.000000000000000;false
F01_bin.1_00054; Tol-Pal system protein TolB;-1.000000000000000;false
F01_bin.1_00055; Peptidoglycan-associated lipoprotein;-1.000000000000000;false
F01_bin.1_00056; Cell division coordinator CpoB;-1.000000000000000;false
F01_bin.1_00057; hypothetical protein;-1.000000000000000;false
F01_bin.1_00058; hypothetical protein;-1.000000000000000;false
F01_bin.1_00059; Fumarate reductase flavoprotein subunit;-1.000000000000000;false
F01_bin.1_00060; Lon protease 2;-1.000000000000000;false
F01_bin.1_00061; hypothetical protein;-1.000000000000000;false
F01_bin.1_00062; hypothetical protein;-1.000000000000000;false
F01_bin.1_00063; putative multidrug ABC transporter ATP-binding protein YbhF;-1.000000000000000;false
F01_bin.1_00064; hypothetical protein;-1.000000000000000;false
F01_bin.1_00065; hypothetical protein;-1.000000000000000;false
F01_bin.1_00066; RNA polymerase sigma factor RpoD;-1.000000000000000;false
F01_bin.1_00067; Ferulic acid decarboxylase 1;-1.000000000000000;false
F01_bin.1_00068; hypothetical protein;-1.000000000000000;false
F01_bin.1_00069; hypothetical protein;-1.000000000000000;false
F01_bin.1_00070; hypothetical protein;-1.000000000000000;false
F01_bin.1_00071; hypothetical protein;-1.000000000000000;false
F01_bin.1_00072; Putative ribosomal N-acetyltransferase YdaF;-1.000000000000000;false
F01_bin.1_00073; hypothetical protein;-1.000000000000000;false
F01_bin.1_00074; hypothetical protein;-1.000000000000000;false
F01_bin.1_00075; putative ABC transporter ATP-binding protein;-1.000000000000000;false
F01_bin.1_00076; Pyridoxine/pyridoxamine 5'-phosphate oxidase;-1.000000000000000;false
F01_bin.1_00077; hypothetical protein;-1.000000000000000;false
F01_bin.1_00078; Lipoprotein-releasing system ATP-binding protein LolD;-1.000000000000000;false
F01_bin.1_00079; Esterase TesA;-1.000000000000000;false
F01_bin.1_00080; NADH-quinone oxidoreductase subunit K;-1.000000000000000;false
F01_bin.1_00081; NADH-quinone oxidoreductase subunit L;-1.000000000000000;false
F01_bin.1_00082; NADH-quinone oxidoreductase subunit M;-1.000000000000000;false
F01_bin.1_00083; NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic;-1.000000000000000;false
F01_bin.1_00084; hypothetical protein;-1.000000000000000;false
F01_bin.1_00085; ATP synthase subunit a;-1.000000000000000;false
F01_bin.1_00086; ATP synthase subunit c;-1.000000000000000;false
F01_bin.1_00087; ATP synthase subunit b;-1.000000000000000;false
F01_bin.1_00088; Cytochrome c-type biogenesis protein CcmE;-1.000000000000000;false
F01_bin.1_00089; hypothetical protein;-1.000000000000000;false
F01_bin.1_00090; hypothetical protein;-1.000000000000000;false
F01_bin.1_00091; hypothetical protein;-1.000000000000000;false
F01_bin.1_00092; Trp operon repressor;-1.000000000000000;false
F01_bin.1_00093; ATP phosphoribosyltransferase;-1.000000000000000;false
F01_bin.1_00094; Histidinol dehydrogenase;-1.000000000000000;false
F01_bin.1_00095; Histidinol-phosphate aminotransferase;-1.000000000000000;false
F01_bin.1_00096; Histidine biosynthesis bifunctional protein HisB;-1.000000000000000;false
F01_bin.1_00097; Imidazole glycerol phosphate synthase subunit HisH;-1.000000000000000;false
F01_bin.1_00098; 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase;-1.000000000000000;false
F01_bin.1_00099; Imidazole glycerol phosphate synthase subunit HisF;-1.000000000000000;false
F01_bin.1_00100; Histidine biosynthesis bifunctional protein HisIE;-1.000000000000000;false
F01_bin.1_00101; Vitamin B12 import ATP-binding protein BtuD;-1.000000000000000;false
F01_bin.1_00102; hypothetical protein;-1.000000000000000;false
F01_bin.1_00103; hypothetical protein;-1.000000000000000;false
F01_bin.1_00104; hypothetical protein;-1.000000000000000;false
F01_bin.1_00105; Nucleoid-associated protein;-1.000000000000000;false
F01_bin.1_00106; Recombination protein RecR;-1.000000000000000;false
F01_bin.1_00107; Molybdopterin synthase sulfur carrier subunit;-1.000000000000000;false
F01_bin.1_00108; Molybdopterin synthase catalytic subunit;-1.000000000000000;false
F01_bin.1_00109; Molybdopterin adenylyltransferase;-1.000000000000000;false
F01_bin.1_00110; hypothetical protein;-1.000000000000000;false
F01_bin.1_00111; hypothetical protein;-1.000000000000000;false
F01_bin.1_00112; hypothetical protein;-1.000000000000000;false
F01_bin.1_00113; Apolipoprotein N-acyltransferase;-1.000000000000000;false
F01_bin.1_00114; hypothetical protein;-1.000000000000000;false
F01_bin.1_00115; LexA repressor;-1.000000000000000;false
F01_bin.1_00116; hypothetical protein;-1.000000000000000;false
F01_bin.1_00117; Outer membrane protein assembly factor BamA;-1.000000000000000;false
F01_bin.1_00118; hypothetical protein;-1.000000000000000;false
F01_bin.1_00119; Phenylalanine--tRNA ligase alpha subunit;-1.000000000000000;false
F01_bin.1_00120; 50S ribosomal protein L20;-1.000000000000000;false
F01_bin.1_00121; 50S ribosomal protein L35;-1.000000000000000;false
F01_bin.1_00122; Translation initiation factor IF-3;-1.000000000000000;false
F01_bin.1_00123; Threonine--tRNA ligase 1;-1.000000000000000;false
F01_bin.1_00125; DNA-binding protein HU-beta;-1.000000000000000;false
F01_bin.1_00126; Carboxy-terminal processing protease CtpA;-1.000000000000000;false
F01_bin.1_00127; Putative pre-16S rRNA nuclease;-1.000000000000000;false
F01_bin.1_00128; Endolytic murein transglycosylase;-1.000000000000000;false
F01_bin.1_00129; Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein;-1.000000000000000;false
F01_bin.1_00130; Methionine--tRNA ligase;-1.000000000000000;false
F01_bin.1_00131; putative metal-dependent hydrolase YcfH;-1.000000000000000;false
F01_bin.1_00132; Octaprenyl diphosphate synthase;-1.000000000000000;false
F01_bin.1_00133; Penicillin-binding protein 1A;-1.000000000000000;false
F01_bin.1_00134; hypothetical protein;-1.000000000000000;false
F01_bin.1_00135; Transcription elongation factor GreA;-1.000000000000000;false
F01_bin.1_00136; hypothetical protein;-1.000000000000000;false
F01_bin.1_00137; GTP-binding protein TypA/BipA;-1.000000000000000;false
F01_bin.1_00139; hypothetical protein;-1.000000000000000;false
F01_bin.1_00140; hypothetical protein;-1.000000000000000;false
F01_bin.1_00141; hypothetical protein;-1.000000000000000;false
F01_bin.1_00142; Mono(2-hydroxyethyl) terephthalate hydrolase;-1.000000000000000;false
F01_bin.1_00143; hypothetical protein;-1.000000000000000;false
F01_bin.1_00144; hypothetical protein;-1.000000000000000;false
F01_bin.1_00145; Adenylosuccinate synthetase;-1.000000000000000;false
F01_bin.1_00146; Sodium-dependent dicarboxylate transporter SdcS;-1.000000000000000;false
F01_bin.1_00147; p-aminobenzoyl-glutamate hydrolase subunit B;-1.000000000000000;false
F01_bin.1_00148; hypothetical protein;-1.000000000000000;false
F01_bin.1_00149; hypothetical protein;-1.000000000000000;false
F01_bin.1_00150; hypothetical protein;-1.000000000000000;false
F01_bin.1_00151; hypothetical protein;-1.000000000000000;false
F01_bin.1_00152; Proteasome-associated ATPase;-1.000000000000000;false
F01_bin.1_00153; hypothetical protein;-1.000000000000000;false
F01_bin.1_00154; hypothetical protein;-1.000000000000000;false
F01_bin.1_00155; hypothetical protein;-1.000000000000000;false
F01_bin.1_00156; Na(+)/H(+)-K(+) antiporter GerN;-1.000000000000000;false
F01_bin.1_00157; putative tRNA sulfurtransferase;-1.000000000000000;false
F01_bin.1_00158; hypothetical protein;-1.000000000000000;false
F01_bin.1_00159; Arsenate reductase;-1.000000000000000;false
F01_bin.1_00160; hypothetical protein;-1.000000000000000;false
F01_bin.1_00161; hypothetical protein;-1.000000000000000;false
F01_bin.1_00162; hypothetical protein;-1.000000000000000;false
F01_bin.1_00163; 3-ketoacyl-CoA thiolase;-1.000000000000000;false
F01_bin.1_00164; hypothetical protein;-1.000000000000000;false
F01_bin.1_00165; Homoserine kinase;-1.000000000000000;false
F01_bin.1_00166; hypothetical protein;-1.000000000000000;false
F01_bin.1_00167; Shikimate dehydrogenase (NADP(+));-1.000000000000000;false
F01_bin.1_00168; CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;-1.000000000000000;false
F01_bin.1_00169; UvrABC system protein C;-1.000000000000000;false
F01_bin.1_00170; Inosine/xanthosine triphosphatase;-1.000000000000000;false
F01_bin.1_00171; hypothetical protein;-1.000000000000000;false
F01_bin.1_00172; hypothetical protein;-1.000000000000000;false
F01_bin.1_00173; hypothetical protein;-1.000000000000000;false
F01_bin.1_00174; FO synthase;-1.000000000000000;false
F01_bin.1_00175; FO synthase;-1.000000000000000;false
F01_bin.1_00176; hypothetical protein;-1.000000000000000;false
F01_bin.1_00177; Oxygen-dependent choline dehydrogenase;-1.000000000000000;false
F01_bin.1_00178; hypothetical protein;-1.000000000000000;false
F01_bin.1_00179; D-threonate 4-phosphate dehydrogenase;-1.000000000000000;false
F01_bin.1_00180; hypothetical protein;-1.000000000000000;false
F01_bin.1_00181; Cytosol aminopeptidase;-1.000000000000000;false
F01_bin.1_00182; SsrA-binding protein;-1.000000000000000;false
F01_bin.1_00183; dTDP-4-dehydrorhamnose reductase;-1.000000000000000;false
F01_bin.1_00184; dTDP-glucose 4,6-dehydratase;-1.000000000000000;false
F01_bin.1_00185; Glucose-1-phosphate thymidylyltransferase;-1.000000000000000;false
F01_bin.1_00186; D-inositol-3-phosphate glycosyltransferase;-1.000000000000000;false
F01_bin.1_00187; hypothetical protein;-1.000000000000000;false
F01_bin.1_00188; hypothetical protein;-1.000000000000000;false
F01_bin.1_00189; Glucosylglycerate synthase;-1.000000000000000;false
F01_bin.1_00190; hypothetical protein;-1.000000000000000;false
F01_bin.1_00191; Oxygen-dependent choline dehydrogenase;-1.000000000000000;false
F01_bin.1_00192; hypothetical protein;-1.000000000000000;false
