Strain name	Signal peptide numbers	Secretory protein numbers	Membrane protein numbers
F01_bin.1	231	154	77
F02_bin.1	221	101	120
F02_bin.2	235	149	86
F02_bin.3	227	113	114
F03_bin.1	244	117	127
F03_bin.2	87	48	39
F04_bin.1	84	9	75
F04_bin.2	292	152	140
F04_bin.3	677	375	302
F04_bin.4	316	252	64
F04_bin.5	90	40	50
F04_bin.6	130	83	47
F04_bin.7	334	179	155
F04_bin.8	565	310	255
F05_bin.1	176	129	47
F05_bin.2	75	31	44
F05_bin.3	21	5	16
F05_bin.4	140	48	92
F05_bin.5	21	5	16
F05_bin.6	110	45	65
F05_bin.7	141	68	73
F05_bin.8	19	1	18
F05_bin.9	213	110	103
F06_bin.10	55	15	40
F06_bin.11	65	33	32
F06_bin.12	164	75	89
F06_bin.1	53	20	33
F06_bin.2	22	5	17
F06_bin.3	18	0	18
F06_bin.4	171	99	72
F06_bin.5	16	1	15
F06_bin.6	35	8	27
F06_bin.7	57	23	34
F06_bin.8	113	79	34
F06_bin.9	89	35	54
